75604:"{'cytoplasmic sequestering of transcription factor (GO:0042994)', 'JAK-STAT cascade (GO:0007259)', 'JAK-STAT cascade involved in growth hormone signaling pathway (GO:0060397)', 'negative regulation of circadian rhythm (GO:0042754)', 'cellular response to epinephrine stimulus (GO:0071872)', 'regulation of mitotic spindle assembly (GO:1901673)', 'gluconeogenesis (GO:0006094)', 'cellular response to unfolded protein (GO:0034620)', 'cellular response to oxidative stress (GO:0034599)', 'regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640)', 'DNA damage induced protein phosphorylation (GO:0006975)', 'positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)', 'synaptic transmission, dopaminergic (GO:0001963)', 'cytoplasmic sequestering of NF-kappaB (GO:0007253)', 'catecholamine biosynthetic process (GO:0042423)', 'cellular response to catecholamine stimulus (GO:0071870)', 'positive regulation of cell junction assembly (GO:1901890)', 'response to reactive oxygen species (GO:0000302)', 'angiotensin-activated signaling pathway (GO:0038166)', 'negative regulation of protein localization to cell surface (GO:2000009)', 'regulation of inclusion body assembly (GO:0090083)', 'negative regulation of inclusion body assembly (GO:0090084)', 'chaperone mediated protein folding requiring cofactor (GO:0051085)', 'negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901029)', 'regulation of stress-activated protein kinase signaling cascade (GO:0070302)', 'regulation of microtubule nucleation (GO:0010968)', 'angiotensin maturation (GO:0002003)', 'response to epinephrine (GO:0071871)', 'growth hormone receptor signaling pathway (GO:0060396)', 'cellular response to ammonium ion (GO:0071242)'}"
34560:"{'regulation of receptor recycling (GO:0001919)', 'lung development (GO:0030324)', 'positive regulation of activin receptor signaling pathway (GO:0032927)', 'bile acid secretion (GO:0032782)', 'monoubiquitinated protein deubiquitination (GO:0035520)', 'regulation of establishment of protein localization (GO:0070201)', 'positive regulation of receptor recycling (GO:0001921)', 'transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)', 'citrate metabolic process (GO:0006101)', 'alpha-beta T cell activation (GO:0046631)', 'oxaloacetate metabolic process (GO:0006107)', 'transcription initiation from RNA polymerase III promoter (GO:0006384)', 'positive regulation of vesicle fusion (GO:0031340)', 'respiratory system development (GO:0060541)', 'regulation of hyaluronan biosynthetic process (GO:1900125)', 'membrane raft assembly (GO:0001765)', 'positive regulation of receptor binding (GO:1900122)', 'bone cell development (GO:0098751)', 'determination of liver left/right asymmetry (GO:0071910)', 'regulation of low-density lipoprotein particle clearance (GO:0010988)', 'lipid modification (GO:0030258)', 'venous blood vessel development (GO:0060841)', 'collagen biosynthetic process (GO:0032964)', 'cellular response to interleukin-18 (GO:0071351)', 'respiratory tube development (GO:0030323)', 'internal peptidyl-lysine acetylation (GO:0018393)', 'interleukin-18-mediated signaling pathway (GO:0035655)', 'positive regulation of mitochondrial membrane potential (GO:0010918)', 'negative regulation of macromolecule biosynthetic process (GO:0010558)', 'zinc II ion transmembrane import (GO:0071578)'}"
219217:"{'protein localization to kinetochore (GO:0034501)', 'regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)', 'positive regulation of smoothened signaling pathway (GO:0045880)', 'positive regulation of protein localization to centrosome (GO:1904781)', 'protein localization to chromosome, centromeric region (GO:0071459)', 'positive regulation of kidney development (GO:0090184)', 'regulation of cell morphogenesis (GO:0022604)', 'negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436)', 'negative regulation of ubiquitin protein ligase activity (GO:1904667)', 'positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437)', 'proteasomal ubiquitin-independent protein catabolic process (GO:0010499)', 'anaphase-promoting complex-dependent catabolic process (GO:0031145)', 'mitotic spindle checkpoint (GO:0071174)', 'synaptic vesicle localization (GO:0097479)', 'regulation of glial cell differentiation (GO:0045685)', 'regulation of protein localization to membrane (GO:1905475)', 'urogenital system development (GO:0001655)', 'positive regulation of cell cycle G2/M phase transition (GO:1902751)', 'response to heparin (GO:0071503)', 'regulation of calcium ion transmembrane transport via high voltage-gated calcium channel (GO:1902514)', 'regulation of extent of cell growth (GO:0061387)', 'positive regulation of mitotic cell cycle phase transition (GO:1901992)', 'positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)', 'regulation of protein ADP-ribosylation (GO:0010835)', 'mitotic spindle assembly checkpoint (GO:0007094)', 'regulation of protein glycosylation (GO:0060049)', 'regulation of mitotic spindle checkpoint (GO:1903504)', 'regulation of protein localization to cell periphery (GO:1904375)', 'spindle assembly checkpoint (GO:0071173)', 'regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)'}"
218721:"{'telencephalon cell migration (GO:0022029)', 'mitochondrial calcium uptake (GO:0036444)', 'adipose tissue development (GO:0060612)', 'brown fat cell differentiation (GO:0050873)', 'cerebral cortex cell migration (GO:0021795)', 'modulation by host of viral process (GO:0044788)', 'regulation of collateral sprouting (GO:0048670)', 'modulation by host of viral genome replication (GO:0044827)', 'regulation of release of cytochrome c from mitochondria (GO:0090199)', 'regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001267)', 'positive regulation of release of cytochrome c from mitochondria (GO:0090200)', 'positive regulation by host of viral process (GO:0044794)', 'response to ammonium ion (GO:0060359)', 'regulation of keratinocyte migration (GO:0051547)', 'regulation of receptor binding (GO:1900120)', 'positive regulation of receptor binding (GO:1900122)', 'activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)', 'regulation of cardiac muscle cell action potential involved in regulation of contraction (GO:0098909)', 'regulation of cellular response to insulin stimulus (GO:1900076)', 'lipoxin biosynthetic process (GO:2001301)', 'regulation of ER to Golgi vesicle-mediated transport (GO:0060628)', 'regulation of mammary gland epithelial cell proliferation (GO:0033599)', 'positive regulation of viral process (GO:0048524)', 'regulation by virus of viral protein levels in host cell (GO:0046719)', 'DNA recombination (GO:0006310)', 'positive regulation of multicellular organism growth (GO:0040018)', 'positive regulation of viral genome replication (GO:0045070)', 'neutrophil extravasation (GO:0072672)', 'positive regulation of epithelial cell proliferation involved in wound healing (GO:0060054)', 'positive regulation of keratinocyte migration (GO:0051549)'}"
36299:"{'protein localization to kinetochore (GO:0034501)', 'positive regulation of myelination (GO:0031643)', 'neurotrophin signaling pathway (GO:0038179)', 'regulation of adiponectin secretion (GO:0070163)', 'protein localization to chromosome, centromeric region (GO:0071459)', 'regulation of telomere capping (GO:1904353)', 'regulation of fat cell proliferation (GO:0070344)', 'nerve growth factor signaling pathway (GO:0038180)', 'negative regulation of neural precursor cell proliferation (GO:2000178)', 'negative regulation of membrane potential (GO:0045837)', 'positive regulation of interferon-gamma secretion (GO:1902715)', 'mitotic recombination (GO:0006312)', 'regulation of Notch signaling pathway (GO:0008593)', 'cellular response to nerve growth factor stimulus (GO:1990090)', 'negative regulation of cellular response to hypoxia (GO:1900038)', 'renal filtration cell differentiation (GO:0061318)', 'glomerular epithelial cell differentiation (GO:0072311)', 'histone-serine phosphorylation (GO:0035404)', 'negative regulation of glycolytic process (GO:0045820)', 'strand displacement (GO:0000732)', 'citrulline metabolic process (GO:0000052)', 'negative regulation of cytokinesis (GO:0032466)', 'protein neddylation (GO:0045116)', 'miRNA metabolic process (GO:0010586)', 'enteric nervous system development (GO:0048484)', 'negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)', 'regulation of interleukin-5 secretion (GO:2000662)', 'sphingosine-1-phosphate signaling pathway (GO:0003376)', 'negative regulation of coenzyme metabolic process (GO:0051198)', 'maintenance of protein location in extracellular region (GO:0071694)'}"
36287:"{'SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)', 'neurotrophin signaling pathway (GO:0038179)', 'regulation of protein depolymerization (GO:1901879)', 'cytoplasmic mRNA processing body assembly (GO:0033962)', 'positive regulation of activin receptor signaling pathway (GO:0032927)', 'nerve growth factor signaling pathway (GO:0038180)', 'phospholipid catabolic process (GO:0009395)', 'enzyme linked receptor protein signaling pathway (GO:0007167)', 'regulation of Notch signaling pathway (GO:0008593)', 'cellular response to nerve growth factor stimulus (GO:1990090)', 'vitamin A metabolic process (GO:0006776)', 'regulation of supramolecular fiber organization (GO:1902903)', 'renal filtration cell differentiation (GO:0061318)', 'glomerular epithelial cell differentiation (GO:0072311)', 'regulation of microtubule polymerization or depolymerization (GO:0031110)', 'exit from host cell (GO:0035891)', 'positive regulation of receptor binding (GO:1900122)', 'transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)', 'regulation of voltage-gated calcium channel activity (GO:1901385)', 'fat-soluble vitamin metabolic process (GO:0006775)', 'N-terminal peptidyl-methionine acetylation (GO:0017196)', 'glycerolipid catabolic process (GO:0046503)', 'enteric nervous system development (GO:0048484)', 'negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)', 'viral release from host cell (GO:0019076)', 'protein localization to nuclear envelope (GO:0090435)', 'positive regulation of mitochondrial membrane potential (GO:0010918)', 'maintenance of protein location in extracellular region (GO:0071694)', 'glycerophospholipid catabolic process (GO:0046475)', 'regulation of cell cycle phase transition (GO:1901987)'}"
34513:"{'arginine biosynthetic process (GO:0006526)', 'positive regulation of ubiquitin-protein transferase activity (GO:0051443)', 'regulation of adiponectin secretion (GO:0070163)', 'arginine metabolic process (GO:0006525)', 'homocysteine metabolic process (GO:0050667)', 'vasodilation (GO:0042311)', 'regulation of lysosomal lumen pH (GO:0035751)', 'kinetochore assembly (GO:0051382)', 'protein acetylation (GO:0006473)', 'nerve growth factor signaling pathway (GO:0038180)', 'protein localization to microtubule (GO:0035372)', 'glucosamine-containing compound catabolic process (GO:1901072)', 'ether lipid metabolic process (GO:0046485)', 'chitin catabolic process (GO:0006032)', 'positive regulation of autophagy (GO:0010508)', 'alpha-amino acid biosynthetic process (GO:1901607)', 'regulation of platelet-derived growth factor receptor-beta signaling pathway (GO:2000586)', 'protein localization to vacuole (GO:0072665)', 'citrulline metabolic process (GO:0000052)', 'positive regulation of endocytosis (GO:0045807)', 'protein localization to microtubule cytoskeleton (GO:0072698)', 'protein neddylation (GO:0045116)', 'regulation of ubiquitin-protein transferase activity (GO:0051438)', 'response to UV-C (GO:0010225)', 'aminoglycan catabolic process (GO:0006026)', 'attachment of mitotic spindle microtubules to kinetochore (GO:0051315)', 'regulation of ERAD pathway (GO:1904292)', 'sphingosine-1-phosphate signaling pathway (GO:0003376)', 'urea cycle (GO:0000050)', 'chitin metabolic process (GO:0006030)'}"
75623:"{'positive regulation of glycolytic process (GO:0045821)', 'carbohydrate catabolic process (GO:0016052)', 'negative regulation of leukocyte activation (GO:0002695)', 'negative regulation of B cell activation (GO:0050869)', 'vesicle transport along microtubule (GO:0047496)', 'negative regulation of viral entry into host cell (GO:0046597)', 'cellular response to zinc ion (GO:0071294)', 'dicarboxylic acid catabolic process (GO:0043649)', 'regulation of cyclin-dependent protein kinase activity (GO:1904029)', 'regulation of viral entry into host cell (GO:0046596)', 'regulation of mitotic sister chromatid separation (GO:0010965)', 'positive regulation of coenzyme metabolic process (GO:0051197)', 'hemidesmosome assembly (GO:0031581)', 'cellular amino acid biosynthetic process (GO:0008652)', 'ATP generation from ADP (GO:0006757)', 'vasculature development (GO:0001944)', 'calcium-mediated signaling using intracellular calcium source (GO:0035584)', 'cytoskeleton-dependent intracellular transport (GO:0030705)', 'leukocyte tethering or rolling (GO:0050901)', 'cellular zinc ion homeostasis (GO:0006882)', 'long-chain fatty-acyl-CoA biosynthetic process (GO:0035338)', 'pyruvate metabolic process (GO:0006090)', 'regulation of viral life cycle (GO:1903900)', 'extracellular matrix disassembly (GO:0022617)', 'production of small RNA involved in gene silencing by RNA (GO:0070918)', 'amyloid-beta metabolic process (GO:0050435)', 'leukocyte adhesion to vascular endothelial cell (GO:0061756)', 'positive regulation of carbohydrate metabolic process (GO:0045913)', 'glycolytic process (GO:0006096)', 'cell-substrate junction assembly (GO:0007044)'}"
34904:"{'mesenchymal cell differentiation involved in kidney development (GO:0072161)', 'regulation of establishment of cell polarity (GO:2000114)', 'cellular response to glucose stimulus (GO:0071333)', 'brain morphogenesis (GO:0048854)', 'regulation of NFAT protein import into nucleus (GO:0051532)', 'retinoic acid metabolic process (GO:0042573)', 'branching involved in ureteric bud morphogenesis (GO:0001658)', 'positive regulation of transmembrane transport (GO:0034764)', 'chemical synaptic transmission, postsynaptic (GO:0099565)', 'epithelial cilium movement involved in determination of left/right asymmetry (GO:0060287)', 'regulation of amyloid-beta formation (GO:1902003)', 'flavonoid glucuronidation (GO:0052696)', 'ureteric bud morphogenesis (GO:0060675)', 'negative regulation of lipid metabolic process (GO:0045833)', 'xenobiotic glucuronidation (GO:0052697)', 'dendritic spine morphogenesis (GO:0060997)', 'cellular glucuronidation (GO:0052695)', 'glucuronate metabolic process (GO:0019585)', 'coumarin metabolic process (GO:0009804)', 'determination of digestive tract left/right asymmetry (GO:0071907)', 'determination of liver left/right asymmetry (GO:0071910)', 'regulation of skeletal muscle satellite cell proliferation (GO:0014842)', 'regulation of endothelial cell development (GO:1901550)', 'regulation of neuronal synaptic plasticity (GO:0048168)', 'regulation of establishment or maintenance of cell polarity (GO:0032878)', 'regulation of extent of cell growth (GO:0061387)', 'negative regulation of amyloid-beta formation (GO:1902430)', 'negative regulation of phosphoprotein phosphatase activity (GO:0032515)', 'regulation of myosin-light-chain-phosphatase activity (GO:0035507)', 'regulation of endoplasmic reticulum unfolded protein response (GO:1900101)'}"
34608:"{'regulation of dendrite extension (GO:1903859)', 'myoblast differentiation (GO:0045445)', 'regulation of protein localization to Cajal body (GO:1904869)', 'negative regulation of dendritic spine development (GO:0061000)', 'positive regulation of fatty acid beta-oxidation (GO:0032000)', 'regulation of establishment of protein localization to telomere (GO:0070203)', 'modulation by virus of host morphology or physiology (GO:0019048)', 'quaternary ammonium group transport (GO:0015697)', 'negative regulation of dendrite morphogenesis (GO:0050774)', 'carnitine metabolic process (GO:0009437)', 'regulation of fatty acid beta-oxidation (GO:0031998)', 'positive regulation of dendrite extension (GO:1903861)', 'positive regulation of protein localization to chromosome, telomeric region (GO:1904816)', 'regulation of telomerase RNA localization to Cajal body (GO:1904872)', 'amino-acid betaine transport (GO:0015838)', 'body fluid secretion (GO:0007589)', 'positive regulation of fatty acid oxidation (GO:0046321)', 'positive regulation of lipid catabolic process (GO:0050996)', 'positive regulation of ruffle assembly (GO:1900029)', 'virion attachment to host cell (GO:0019062)', 'positive regulation of protein localization to Cajal body (GO:1904871)', 'positive regulation of establishment of protein localization to telomere (GO:1904851)', 'regulation of lymphocyte proliferation (GO:0050670)', 'modification by symbiont of host morphology or physiology (GO:0044003)', 'positive regulation of establishment of protein localization (GO:1904951)', 'positive regulation of telomerase RNA localization to Cajal body (GO:1904874)', 'carnitine transport (GO:0015879)', 'regulation of Ras protein signal transduction (GO:0046578)', 'secretion (GO:0046903)', 'phosphatidylethanolamine biosynthetic process (GO:0006646)'}"
14892:"{'positive regulation of cellular carbohydrate metabolic process (GO:0010676)', 'vasodilation (GO:0042311)', 'regulation of protein modification by small protein conjugation or removal (GO:1903320)', 'regulation of macrophage derived foam cell differentiation (GO:0010743)', 'establishment of endothelial intestinal barrier (GO:0090557)', 'histone H3 deacetylation (GO:0070932)', 'positive regulation of cholesterol transport (GO:0032376)', 'negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)', 'cellular response to oxidative stress (GO:0034599)', 'positive regulation of cholesterol efflux (GO:0010875)', 'positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)', 'cellular response to superoxide (GO:0071451)', 'regulation of chromosome segregation (GO:0051983)', 'regulation of protein localization to centrosome (GO:1904779)', 'regulation of lymphocyte differentiation (GO:0045619)', 'inositol lipid-mediated signaling (GO:0048017)', 'negative regulation of gluconeogenesis (GO:0045721)', 'energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)', 'regulation of monocyte chemotactic protein-1 production (GO:0071637)', 'regulation of inclusion body assembly (GO:0090083)', 'removal of superoxide radicals (GO:0019430)', 'negative regulation of inclusion body assembly (GO:0090084)', 'chaperone mediated protein folding requiring cofactor (GO:0051085)', 'regulation of cholesterol efflux (GO:0010874)', 'regulation of phospholipase C activity (GO:1900274)', 'negative regulation of macrophage derived foam cell differentiation (GO:0010745)', ""'de novo' posttranslational protein folding (GO:0051084)"", 'regulation of microtubule nucleation (GO:0010968)', 'negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)', 'negative regulation of lipid localization (GO:1905953)'}"
34625:"{'arginine biosynthetic process (GO:0006526)', 'regulation of adiponectin secretion (GO:0070163)', 'arginine metabolic process (GO:0006525)', 'regulation of transforming growth factor beta2 production (GO:0032909)', 'positive regulation of kidney development (GO:0090184)', 'deadenylation-independent decapping of nuclear-transcribed mRNA (GO:0031087)', 'regulation of keratinocyte proliferation (GO:0010837)', 'positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)', 'negative regulation of membrane potential (GO:0045837)', 'nuclear migration (GO:0007097)', 'regulation of phosphatidylinositol 3-kinase activity (GO:0043551)', 'negative regulation of cellular response to hypoxia (GO:1900038)', 'nucleus localization (GO:0051647)', 'alpha-amino acid biosynthetic process (GO:1901607)', 'regulation of biosynthetic process (GO:0009889)', 'sulfur amino acid metabolic process (GO:0000096)', 'insulin secretion involved in cellular response to glucose stimulus (GO:0035773)', 'purine nucleobase biosynthetic process (GO:0009113)', 'protein deubiquitination involved in ubiquitin-dependent protein catabolic process (GO:0071947)', 'positive regulation of deacetylase activity (GO:0090045)', 'citrulline metabolic process (GO:0000052)', 'alpha-amino acid metabolic process (GO:1901605)', 'substrate-dependent cell migration (GO:0006929)', 'regulation of mitochondrial membrane potential (GO:0051881)', 'negative regulation of hormone secretion (GO:0046888)', 'negative regulation of transforming growth factor beta production (GO:0071635)', 'regulation of histone deacetylase activity (GO:1901725)', 'positive regulation of lipid kinase activity (GO:0090218)', 'positive regulation of phospholipid metabolic process (GO:1903727)', 'pyrimidine-containing compound transmembrane transport (GO:0072531)'}"
137861:"{'regulation of viral genome replication (GO:0045069)', 'positive regulation of chemotaxis (GO:0050921)', 'cellular response to type I interferon (GO:0071357)', 'kinetochore organization (GO:0051383)', 'secondary alcohol biosynthetic process (GO:1902653)', 'regulation of T cell chemotaxis (GO:0010819)', 'neutrophil activation (GO:0042119)', 'negative regulation of viral life cycle (GO:1903901)', 'sterol biosynthetic process (GO:0016126)', 'positive regulation of leukocyte chemotaxis (GO:0002690)', 'type I interferon signaling pathway (GO:0060337)', 'cholesterol biosynthetic process (GO:0006695)', 'regulation of cAMP metabolic process (GO:0030814)', 'positive regulation of cell adhesion mediated by integrin (GO:0033630)', 'chemokine-mediated signaling pathway (GO:0070098)', 'establishment of mitotic spindle orientation (GO:0000132)', 'positive regulation of T cell apoptotic process (GO:0070234)', 'regulation of cAMP-mediated signaling (GO:0043949)', 'cellular glucan metabolic process (GO:0006073)', 'positive regulation of leukocyte migration (GO:0002687)', 'cellular response to leucine starvation (GO:1990253)', 'positive regulation of cAMP-mediated signaling (GO:0043950)', 'lymphocyte chemotaxis (GO:0048247)', 'T cell chemotaxis (GO:0010818)', 'regulation of nuclease activity (GO:0032069)', 'regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle (GO:0031657)', 'regulation of leukocyte chemotaxis (GO:0002688)', 'negative regulation of viral genome replication (GO:0045071)', 'response to interferon-beta (GO:0035456)', 'regulation of single stranded viral RNA replication via double stranded DNA intermediate (GO:0045091)'}"
222630:"{'regulation of cell aging (GO:0090342)', 'negative regulation of cell aging (GO:0090344)', 'negative regulation of cellular senescence (GO:2000773)', 'cellular senescence (GO:0090398)', 'regulation of protein modification by small protein conjugation or removal (GO:1903320)', 'regulation of amyloid-beta clearance (GO:1900221)', 'negative regulation of telomere maintenance (GO:0032205)', 'positive regulation of cholesterol transport (GO:0032376)', 'negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166)', 'positive regulation of phospholipid transport (GO:2001140)', 'fatty acid homeostasis (GO:0055089)', 'negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)', 'positive regulation of cholesterol efflux (GO:0010875)', 'regulation of cytoplasmic transport (GO:1903649)', 'stress-induced premature senescence (GO:0090400)', 'negative regulation of reproductive process (GO:2000242)', 'positive regulation of response to stimulus (GO:0048584)', 'positive regulation of cellular senescence (GO:2000774)', 'regulation of cellular senescence (GO:2000772)', 'positive regulation of cell aging (GO:0090343)', 'negative regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle (GO:0031658)', 'negative regulation of inclusion body assembly (GO:0090084)', 'regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165)', 'positive regulation of erythrocyte differentiation (GO:0045648)', 'telomere maintenance via recombination (GO:0000722)', 'regulation of stress-activated protein kinase signaling cascade (GO:0070302)', 'regulation of microtubule nucleation (GO:0010968)', 'negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254)', 'positive regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902895)', 'replicative senescence (GO:0090399)'}"
271725:"{'positive regulation of glycolytic process (GO:0045821)', 'regulation of vascular endothelial growth factor production (GO:0010574)', 'positive regulation of cardiac muscle cell differentiation (GO:2000727)', 'positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)', 'positive regulation of chemotaxis (GO:0050921)', 'positive regulation of chemokine production (GO:0032722)', 'lipopolysaccharide-mediated signaling pathway (GO:0031663)', 'cellular modified amino acid biosynthetic process (GO:0042398)', 'macrophage derived foam cell differentiation (GO:0010742)', 'nonribosomal peptide biosynthetic process (GO:0019184)', 'positive regulation of leukocyte chemotaxis (GO:0002690)', 'positive regulation of type 2 immune response (GO:0002830)', 'fatty acid homeostasis (GO:0055089)', 'PERK-mediated unfolded protein response (GO:0036499)', 'regulation of chemokine biosynthetic process (GO:0045073)', 'positive regulation of coenzyme metabolic process (GO:0051197)', 'regulation of chemokine-mediated signaling pathway (GO:0070099)', 'chemokine-mediated signaling pathway (GO:0070098)', 'positive regulation of fever generation (GO:0031622)', 'positive regulation of vascular endothelial growth factor production (GO:0010575)', 'regulation of endothelial cell development (GO:1901550)', 'glutathione biosynthetic process (GO:0006750)', 'positive regulation of acute inflammatory response (GO:0002675)', 'positive regulation of leukocyte migration (GO:0002687)', 'positive regulation of interferon-alpha production (GO:0032727)', 'foam cell differentiation (GO:0090077)', 'regulation of heterotypic cell-cell adhesion (GO:0034114)', 'regulation of leukocyte chemotaxis (GO:0002688)', 'gas transport (GO:0015669)', 'leukocyte aggregation (GO:0070486)'}"
34552:"{'arginine biosynthetic process (GO:0006526)', 'ruffle organization (GO:0031529)', 'positive regulation of myelination (GO:0031643)', 'negative regulation of endocytosis (GO:0045806)', 'cellular amino acid catabolic process (GO:0009063)', 'positive regulation of amyloid-beta clearance (GO:1900223)', 'regulation of defense response to virus by virus (GO:0050690)', 'positive regulation of aspartic-type peptidase activity (GO:1905247)', 'protein transport along microtubule (GO:0098840)', 'negative regulation of type I interferon-mediated signaling pathway (GO:0060339)', 'positive regulation of kidney development (GO:0090184)', 'positive regulation of clathrin-dependent endocytosis (GO:2000370)', 'iron ion import (GO:0097286)', 'negative regulation of endothelial cell proliferation (GO:0001937)', 'quaternary ammonium group transport (GO:0015697)', 'regulation of Notch signaling pathway (GO:0008593)', 'inner ear morphogenesis (GO:0042472)', 'mitochondrial ribosome assembly (GO:0061668)', 'regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902893)', 'negative regulation of receptor-mediated endocytosis (GO:0048261)', 'carboxylic acid metabolic process (GO:0019752)', 'TOR signaling (GO:0031929)', 'response to heparin (GO:0071503)', 'regulation of mesenchymal stem cell differentiation (GO:2000739)', 'regulation of nuclease activity (GO:0032069)', 'protein complex localization (GO:0031503)', 'regulation of male gonad development (GO:2000018)', 'negative regulation of epithelial cell proliferation (GO:0050680)', 'enteric nervous system development (GO:0048484)', 'regulation of hydrogen peroxide metabolic process (GO:0010310)'}"
216885:"{'signal transduction in response to DNA damage (GO:0042770)', 'regulation of nervous system development (GO:0051960)', 'negative regulation of cellular extravasation (GO:0002692)', 'actin crosslink formation (GO:0051764)', 'amylin receptor signaling pathway (GO:0097647)', 'negative regulation of neuron projection development (GO:0010977)', 'regulation of adherens junction organization (GO:1903391)', 'positive regulation of purine nucleotide metabolic process (GO:1900544)', 'positive regulation of calcium ion import (GO:0090280)', 'regulation of embryonic development (GO:0045995)', 'positive regulation of cyclic nucleotide biosynthetic process (GO:0030804)', 'positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)', 'positive regulation of chromatin silencing (GO:0031937)', 'mRNA transcription (GO:0009299)', 'regulation of supramolecular fiber organization (GO:1902903)', 'regulation of cAMP metabolic process (GO:0030814)', 'negative regulation of cell projection organization (GO:0031345)', 'positive regulation of gastrulation (GO:2000543)', 'regulation of exosomal secretion (GO:1903541)', 'negative regulation of GTPase activity (GO:0034260)', 'calcitonin family receptor signaling pathway (GO:0097646)', 'positive regulation of cyclic nucleotide metabolic process (GO:0030801)', 'central nervous system myelination (GO:0022010)', 'dimeric G-protein coupled receptor signaling pathway (GO:0038042)', 'negative regulation of exocytosis (GO:0045920)', 'heparan sulfate proteoglycan biosynthetic process, enzymatic modification (GO:0015015)', 'negative regulation of neuron differentiation (GO:0045665)', 'cellular response to glucocorticoid stimulus (GO:0071385)', 'positive regulation of protein kinase A signaling (GO:0010739)', 'chromatin assembly or disassembly (GO:0006333)'}"
810:"{'RNA-dependent DNA biosynthetic process (GO:0006278)', 'negative regulation of response to endoplasmic reticulum stress (GO:1903573)', 'endoplasmic reticulum calcium ion homeostasis (GO:0032469)', 'protein peptidyl-prolyl isomerization (GO:0000413)', 'negative regulation of signal transduction in absence of ligand (GO:1901099)', 'regulation of protein modification by small protein conjugation or removal (GO:1903320)', 'regulation of mitotic spindle assembly (GO:1901673)', 'regulation of spindle assembly (GO:0090169)', 'RNA catabolic process (GO:0006401)', 'cellular response to unfolded protein (GO:0034620)', 'virion assembly (GO:0019068)', 'calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)', 'positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)', 'negative regulation of cellular component organization (GO:0051129)', 'cellular response to topologically incorrect protein (GO:0035967)', 'negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)', 'regulation of inclusion body assembly (GO:0090083)', 'regulation of erythrocyte differentiation (GO:0045646)', 'negative regulation of inclusion body assembly (GO:0090084)', 'chaperone mediated protein folding requiring cofactor (GO:0051085)', 'misfolded or incompletely synthesized protein catabolic process (GO:0006515)', 'positive regulation of erythrocyte differentiation (GO:0045648)', 'mRNA catabolic process (GO:0006402)', 'peptidyl-proline modification (GO:0018208)', ""'de novo' posttranslational protein folding (GO:0051084)"", 'negative regulation of steroid biosynthetic process (GO:0010894)', 'regulation of microtubule nucleation (GO:0010968)', 'regulation of protein oligomerization (GO:0032459)', 'negative regulation of cytokine biosynthetic process (GO:0042036)', 'positive regulation of microtubule polymerization (GO:0031116)'}"
